"Statistic","Sex","Ethnicity","Cause of Death","Age Group","UNIT","2017","2018","2019","2020","2021","2022"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","M00-M99 Diseases of musculoskeletal system and connective tissue","70 - 74 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","M00-M99 Diseases of musculoskeletal system and connective tissue","75 - 79 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","M00-M99 Diseases of musculoskeletal system and connective tissue","80 - 84 years","Number","0",0,0,0,"0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","M00-M99 Diseases of musculoskeletal system and connective tissue","85 years and over","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","M00-M99 Diseases of musculoskeletal system and connective tissue","64 years and under","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","M00-M99 Diseases of musculoskeletal system and connective tissue","65 years and over","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","N00-N99 Diseases of genitourinary system","All ages","Number","","","","","",""
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","N00-N99 Diseases of genitourinary system","Under 5 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","N00-N99 Diseases of genitourinary system","5 - 19 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","N00-N99 Diseases of genitourinary system","20 - 39 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","N00-N99 Diseases of genitourinary system","40 - 64 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","N00-N99 Diseases of genitourinary system","65 - 69 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","N00-N99 Diseases of genitourinary system","70 - 74 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","N00-N99 Diseases of genitourinary system","75 - 79 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","N00-N99 Diseases of genitourinary system","80 - 84 years","Number","0",0,0,0,"0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","N00-N99 Diseases of genitourinary system","85 years and over","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","N00-N99 Diseases of genitourinary system","64 years and under","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","N00-N99 Diseases of genitourinary system","65 years and over","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","O00-O99 Complicatons of pregnancy, childbirth and puerperium","All ages","Number","","","","","",""
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","O00-O99 Complicatons of pregnancy, childbirth and puerperium","Under 5 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","O00-O99 Complicatons of pregnancy, childbirth and puerperium","5 - 19 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","O00-O99 Complicatons of pregnancy, childbirth and puerperium","20 - 39 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","O00-O99 Complicatons of pregnancy, childbirth and puerperium","40 - 64 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","O00-O99 Complicatons of pregnancy, childbirth and puerperium","65 - 69 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","O00-O99 Complicatons of pregnancy, childbirth and puerperium","70 - 74 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","O00-O99 Complicatons of pregnancy, childbirth and puerperium","75 - 79 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","O00-O99 Complicatons of pregnancy, childbirth and puerperium","80 - 84 years","Number","0",0,0,0,"0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","O00-O99 Complicatons of pregnancy, childbirth and puerperium","85 years and over","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","O00-O99 Complicatons of pregnancy, childbirth and puerperium","64 years and under","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","O00-O99 Complicatons of pregnancy, childbirth and puerperium","65 years and over","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","P00-P96 Certain conditions originating in the perinatal period","All ages","Number","","","","","",""
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","P00-P96 Certain conditions originating in the perinatal period","Under 5 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","P00-P96 Certain conditions originating in the perinatal period","5 - 19 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","P00-P96 Certain conditions originating in the perinatal period","20 - 39 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","P00-P96 Certain conditions originating in the perinatal period","40 - 64 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","P00-P96 Certain conditions originating in the perinatal period","65 - 69 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","P00-P96 Certain conditions originating in the perinatal period","70 - 74 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","P00-P96 Certain conditions originating in the perinatal period","75 - 79 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","P00-P96 Certain conditions originating in the perinatal period","80 - 84 years","Number","0",0,0,0,"0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","P00-P96 Certain conditions originating in the perinatal period","85 years and over","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","P00-P96 Certain conditions originating in the perinatal period","64 years and under","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","P00-P96 Certain conditions originating in the perinatal period","65 years and over","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","Q00-Q99 Congenital malformations, deformations and chromosomal abnormalities","All ages","Number","","","","","",""
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","Q00-Q99 Congenital malformations, deformations and chromosomal abnormalities","Under 5 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","Q00-Q99 Congenital malformations, deformations and chromosomal abnormalities","5 - 19 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","Q00-Q99 Congenital malformations, deformations and chromosomal abnormalities","20 - 39 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","Q00-Q99 Congenital malformations, deformations and chromosomal abnormalities","40 - 64 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","Q00-Q99 Congenital malformations, deformations and chromosomal abnormalities","65 - 69 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","Q00-Q99 Congenital malformations, deformations and chromosomal abnormalities","70 - 74 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","Q00-Q99 Congenital malformations, deformations and chromosomal abnormalities","75 - 79 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","Black or Black Irish - any other Black background","Q00-Q99 Congenital malformations, deformations and chromosomal abnormalities","80 - 84 years","Number","0",0,0,0,"0","0"
